state,x,y
Andhra Pradesh,-62,-155
Arunachal Pradesh,216,103
Assam,184,56
Bihar,68,52
Chhattisgarh,-11,-27
Goa,-145,-149
Gujarat,-194,-6
Haryana,-105,112
Himachal Pradesh,-92,173
Jharkhand,35,12
Karnataka,-115,-172
Kerala,-104,-236
Madhya Pradesh,-65,-3
Maharashtra,-125,-67
Manipur,203,30
Meghalaya,158,40
Mizoram,180,5
Nagaland,215,57
Odisha,37,-50
Punjab,-126,150
Rajasthan,-161,70
Sikkim,108,84
Tamil Nadu,-69,-219
Telangana,-62,-98
Tripura,162,6
Uttar Pradesh,-35,71
Uttarakhand,-58,140
West Bengal,96,-2